0,1,2,3
165.0,40.782803,-73.948273,2.0
166.0,40.780895,-73.949631,2.0
167.0,40.779278,-73.950821,2.0
168.0,40.777573,-73.952095,2.0
169.0,40.776325,-73.953011,2.0
170.0,40.775082,-73.953918,2.0
171.0,40.773067,-73.955383,2.0
172.0,40.770836,-73.95697,2.0
173.0,40.768734,-73.958504,2.0
174.0,40.767883,-73.959122,2.0
175.0,40.766014,-73.960526,2.0
176.0,40.764698,-73.961517,2.0
177.0,40.763496,-73.962372,2.0
178.0,40.761551,-73.963806,2.0
179.0,40.759022,-73.965652,2.0
180.0,40.757168,-73.966995,2.0
181.0,40.754646,-73.968842,2.0
182.0,40.752502,-73.970398,2.0
183.0,40.749527,-73.972572,2.0
184.0,40.747662,-73.97393,2.0
185.0,40.746201,-73.974998,2.0
186.0,40.744507,-73.976234,2.0
187.0,40.742668,-73.977577,2.0
188.0,40.741116,-73.978638,2.0
189.0,40.738953,-73.980278,2.0
190.0,40.737549,-73.981277,2.0
191.0,40.735783,-73.982567,2.0
192.0,40.734028,-73.983841,2.0
193.0,40.732513,-73.98494,2.0
194.0,40.730812,-73.986191,2.0
195.0,40.728912,-73.987572,2.0
196.0,40.727184,-73.988823,2.0
197.0,40.725368,-73.99015,2.0
198.0,40.723438,-73.991226,2.0
199.0,40.719147,-73.990631,2.0
200.0,40.716393,-73.992058,2.0
201.0,40.714863,-73.992836,2.0
202.0,40.71262,-73.992653,2.0
203.0,40.710823,-73.99192,2.0
204.0,40.701538,-74.012482,2.0
205.0,40.703037,-74.010834,2.0
206.0,40.704273,-74.008492,2.0
207.0,40.705288,-74.007111,3.0
208.0,40.706272,-74.005661,2.0
209.0,40.703629,-74.009537,3.0
210.0,40.705959,-74.006172,3.0
211.0,40.70755,-74.00386,3.0
212.0,40.702469,-74.012711,3.0
213.0,40.708969,-74.002174,2.0
214.0,40.708908,-74.002296,3.0
215.0,40.7103,-74.000923,2.0
216.0,40.709305,-74.001755,3.0
217.0,40.711769,-73.999046,2.0
218.0,40.711929,-73.997154,2.0
219.0,40.712208,-73.994095,2.0
220.0,40.712875,-73.992264,2.0
221.0,40.714302,-73.99247,2.0
222.0,40.717167,-73.991188,2.0
223.0,40.719559,-73.989967,2.0
224.0,40.721893,-73.988815,2.0
225.0,40.723534,-73.988113,2.0
226.0,40.725437,-73.986725,2.0
227.0,40.727802,-73.985008,2.0
228.0,40.729618,-73.983681,2.0
229.0,40.732124,-73.981949,2.0
230.0,40.733154,-73.981186,2.0
231.0,40.735092,-73.979721,2.0
232.0,40.737034,-73.978317,2.0
233.0,40.738472,-73.977234,2.0
234.0,40.739597,-73.976425,2.0
235.0,40.740513,-73.975746,2.0
236.0,40.741924,-73.974724,2.0
237.0,40.744141,-73.973106,2.0
238.0,40.745293,-73.97226,2.0
239.0,40.747158,-73.970894,2.0
240.0,40.749275,-73.969398,2.0
241.0,40.750664,-73.968407,2.0
242.0,40.753559,-73.966232,2.0
243.0,40.764832,-73.958015,2.0
244.0,40.766705,-73.956642,2.0
245.0,40.768055,-73.955658,2.0
246.0,40.769955,-73.954269,2.0
247.0,40.771233,-73.953346,2.0
248.0,40.77261,-73.952339,2.0
249.0,40.774559,-73.950912,2.0
250.0,40.777134,-73.949036,2.0
251.0,40.779011,-73.947662,2.0
252.0,40.781536,-73.945816,2.0
253.0,40.784679,-73.943535,2.0
254.0,40.785419,-73.942986,2.0
255.0,40.787323,-73.941597,2.0
256.0,40.789761,-73.939621,2.0
257.0,40.791618,-73.938324,2.0
258.0,40.793076,-73.937401,2.0
259.0,40.794296,-73.936508,2.0
260.0,40.796299,-73.935043,2.0
261.0,40.798897,-73.933136,2.0
262.0,40.80032,-73.932098,2.0
263.0,40.801575,-73.931183,2.0
264.0,40.80315,-73.932266,2.0
265.0,40.730465,-73.990479,2.0
266.0,40.730068,-73.99128,2.0
