0,1,2
139.0,41.87791525900002,-87.63510947200001
140.0,41.888552000000004,-87.636751001
141.0,41.88313699999998,-87.63262499899997
142.0,41.882011562,-87.63265218499998
143.0,41.88213999999999,-87.62597299999999
144.0,41.87322100099999,-87.62393799900002
145.0,41.876674965999996,-87.64957675599999
146.0,41.87444283799999,-87.64434547899998
147.0,41.88194734699999,-87.641043421
148.0,41.78776143599998,-87.60361665699998
149.0,41.889431,-87.62026800000001
150.0,41.87664756200002,-87.65216674700002
151.0,41.871760000999984,-87.640959001
152.0,41.86987199999999,-87.640896
153.0,41.883128,-87.63551600099998
154.0,41.881999801999996,-87.63563722499998
155.0,41.883084000999986,-87.63997599999999
156.0,41.873264000999995,-87.62100200100002
157.0,41.88310999999999,-87.64284800000001
158.0,41.883169572999975,-87.62749695399998
